Model,Type of dataset,Average Accuracy,Average AUC,Average F1 Score,Average G-Mean,Average train_time,Average num_features,BestFold Features selected,BestFold #Features,C,B,tau,n_features
L1SVM,Not noise,0.9754385964912281,0.971547619047619,0.9752245140892579,0.9708223852185085,0.06782057285308837,10.2,"2, 8, 14, 22, 24, 25, 27, 28, 29",9,2.0,,,
L1SVM,Noise,0.9016290726817043,0.8921008403361345,0.9008448820568639,0.8900654040963498,0.06998906135559083,13.0,"3, 6, 9, 10, 14, 17, 21, 22, 23, 24, 27, 28",12,2.0,,,
L1SVM,Outlier,0.9156328320802005,0.9279014844804319,0.9172820453210709,0.9269206444825105,0.06513304710388183,8.6,"8, 15, 21, 22, 25, 28, 29",7,0.125,,,
L1SVM,Noise + Outlier,0.8576441102756892,0.8604363472784525,0.8597749461620696,0.8590406630139734,0.06534032821655274,14.6,"2, 4, 5, 6, 7, 8, 18, 21, 22, 23, 26, 28, 29, 30",14,1.0,,,
L2SVM,Not noise,0.9754385964912281,0.9725396825396825,0.9753569524125817,0.9719709054504999,0.11061885356903076,30.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30",30,0.25,,,
L2SVM,Noise,0.9016290726817043,0.8921008403361345,0.9008448820568639,0.8900654040963498,0.08808090686798095,30.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30",30,1.0,,,
L2SVM,Outlier,0.9156328320802005,0.927867746288799,0.91727602670023,0.9268386932609273,0.08909657001495361,30.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30",30,0.125,,,
L2SVM,Noise + Outlier,0.8541666666666666,0.8591205578047683,0.8565258029354382,0.857656255192796,0.08843495845794677,30.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30",30,0.125,,,
MILP1,Not noise,0.9736842105263157,0.9711507936507937,0.973532006082943,0.97050965882474,0.13033320903778076,9.0,"8, 14, 21, 22, 24, 25, 27, 28, 29",9,0.125,9.0,,
MILP1,Noise,0.9016290726817043,0.8912566844919787,0.9007629687673242,0.8889938252335524,0.3889934539794922,5.0,"14, 22, 24, 27, 28",5,0.125,5.0,,
MILP1,Outlier,0.9138784461152885,0.9237404408457041,0.9153889437549754,0.9226766817857983,0.12384181022644043,8.0,"1, 8, 15, 21, 22, 25, 28, 29",8,0.125,8.0,,
MILP1,Noise + Outlier,0.855889724310777,0.8578047683310841,0.8579920334723619,0.8565459124660393,0.11156730651855469,13.4,"4, 5, 6, 7, 8, 11, 18, 22, 23, 24, 29, 30",12,0.125,14.0,,
PinFSSVM,Not noise,0.9701754385964911,0.9683730158730158,0.9701288174460991,0.9676852784217915,0.18784744739532472,10.4,"2, 8, 11, 15, 21, 25, 27, 29, 30",9,0.125,11.0,0.5,
PinFSSVM,Noise,0.9068609022556391,0.9047860962566844,0.9067745682717556,0.9034051247070872,0.5124544620513916,6.0,"4, 13, 21, 22, 27, 28",6,2.0,6.0,1.0,
PinFSSVM,Outlier,0.9173872180451127,0.929217273954116,0.9189857975020216,0.9283049001884196,0.21789114475250243,8.0,"2, 8, 15, 21, 25, 27, 29, 30",8,0.5,8.0,0.5,
PinFSSVM,Noise + Outlier,0.8593984962406015,0.86555330634278,0.8618902337993013,0.864629131044869,0.236838436126709,15.7,"2, 4, 5, 7, 9, 11, 13, 18, 21, 22, 23, 26, 27, 28, 29",15,0.25,16.0,1.0,
PinballSVM,Not noise,0.9666666666666668,0.965595238095238,0.9666621162143008,0.9648801969779941,0.21227293014526366,30.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30",30,0.125,,0.5,
PinballSVM,Noise,0.8998746867167918,0.8965813598166539,0.8998251676644632,0.8953359722205928,0.20977280139923096,30.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30",30,0.5,,1.0,
PinballSVM,Outlier,0.9173872180451127,0.929217273954116,0.9190026938134667,0.9283259554112805,0.22304506301879884,30.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30",30,0.25,,0.1,
PinballSVM,Noise + Outlier,0.8593671679197994,0.8616059379217275,0.8614156860998478,0.8603236133237401,0.22950809001922606,30.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30",30,0.125,,0.1,
FisherSVM,Not noise,0.9736842105263157,0.9701587301587301,0.973491702621587,0.9694035870809365,0.6240454912185669,10.4,"2, 8, 13, 14, 21, 22, 24, 25, 27, 28, 29",11,4.0,,,
FisherSVM,Noise,0.9033834586466167,0.8952177234530175,0.9027659557359862,0.8934758815344315,0.6582868099212646,10.9,"1, 6, 10, 11, 14, 20, 21, 22, 23, 24, 27, 28, 29",13,4.0,,,
FisherSVM,Outlier,0.9103383458646614,0.9225258659469185,0.9121442497080234,0.9215040202142077,0.6590296030044556,7.5,"8, 21, 22, 25, 28, 29",6,0.125,,,
FisherSVM,Noise + Outlier,0.8488095238095237,0.8535650022492127,0.8513987489287296,0.8522607960974563,0.6555904150009155,11.7,"2, 4, 6, 7, 8, 9, 11, 18, 21, 22, 23, 24, 26, 29",14,4.0,,,
RFESVM,Not noise,0.9754385964912281,0.9725396825396826,0.9752661511531178,0.9719621648140693,1.2223658084869384,6.9,"8, 14, 22, 24, 25, 27, 28",7,2.0,,,7.0
RFESVM,Noise,0.9016290726817043,0.8921008403361345,0.9008448820568639,0.8900654040963498,0.9266767740249634,12.8,"3, 6, 9, 10, 14, 17, 21, 22, 23, 24, 27, 28",12,2.0,,,15.0
RFESVM,Outlier,0.9156328320802005,0.9279014844804319,0.9172820453210709,0.9269206444825105,0.9361483335494996,8.6,"8, 15, 21, 22, 25, 28, 29",7,0.125,,,15.0
RFESVM,Noise + Outlier,0.8593984962406015,0.8616059379217275,0.8615454430263272,0.8604618682539341,1.303907299041748,7.0,"4, 6, 7, 22, 23, 24, 26",7,0.125,,,7.0
