Model,Dataset,Dataset_Type,Fold,AUC,Best_C,Best_n_features,Best_tau,Best_B
RFESVM,wdbc,outlier,1,0.9321646341463415,0.25,15.0,,
RFESVM,wdbc,outlier,2,0.9166666666666667,0.25,15.0,,
RFESVM,wdbc,outlier,3,0.9268292682926829,0.25,15.0,,
RFESVM,wdbc,outlier,4,0.9534883720930233,0.25,15.0,,
RFESVM,wdbc,outlier,5,0.9321646341463415,0.25,15.0,,
RFESVM,wdbc,outlier,6,0.8829365079365079,0.25,15.0,,
RFESVM,wdbc,outlier,7,0.9095238095238095,0.25,15.0,,
RFESVM,wdbc,outlier,8,0.984375,0.25,15.0,,
RFESVM,wdbc,outlier,9,0.8545454545454546,0.25,15.0,,
RFESVM,wdbc,outlier,10,0.9736842105263158,0.25,15.0,,
RFESVM,wdbc,original,1,0.9580882352941176,2.0,15.0,,
RFESVM,wdbc,original,2,0.9838709677419355,2.0,15.0,,
RFESVM,wdbc,original,3,0.9864864864864865,2.0,15.0,,
RFESVM,wdbc,original,4,0.9874999999999999,2.0,15.0,,
RFESVM,wdbc,original,5,0.9722222222222222,2.0,15.0,,
RFESVM,wdbc,original,6,0.944375,2.0,15.0,,
RFESVM,wdbc,original,7,1.0,2.0,15.0,,
RFESVM,wdbc,original,8,1.0,2.0,15.0,,
RFESVM,wdbc,original,9,0.962962962962963,2.0,15.0,,
RFESVM,wdbc,original,10,0.9338549075391182,2.0,15.0,,
RFESVM,wdbc,noise,1,0.9038461538461539,16.0,15.0,,
RFESVM,wdbc,noise,2,0.9454094292803971,16.0,15.0,,
RFESVM,wdbc,noise,3,0.851948051948052,16.0,15.0,,
RFESVM,wdbc,noise,4,0.8931623931623932,16.0,15.0,,
RFESVM,wdbc,noise,5,0.8911764705882352,16.0,15.0,,
RFESVM,wdbc,noise,6,0.873125,16.0,15.0,,
RFESVM,wdbc,noise,7,0.8157894736842105,16.0,15.0,,
RFESVM,wdbc,noise,8,0.8746898263027295,16.0,15.0,,
RFESVM,wdbc,noise,9,0.9310344827586207,16.0,15.0,,
RFESVM,wdbc,noise,10,0.8861111111111111,16.0,15.0,,
RFESVM,wdbc,both,1,0.8696646341463414,0.125,15.0,,
RFESVM,wdbc,both,2,0.8804054054054054,0.125,15.0,,
RFESVM,wdbc,both,3,0.9615384615384616,0.125,15.0,,
RFESVM,wdbc,both,4,0.7948529411764705,0.125,15.0,,
RFESVM,wdbc,both,5,0.8367647058823529,0.125,15.0,,
RFESVM,wdbc,both,6,0.7736572890025575,0.125,15.0,,
RFESVM,wdbc,both,7,0.9204545454545455,0.125,15.0,,
RFESVM,wdbc,both,8,0.8175,0.125,15.0,,
RFESVM,wdbc,both,9,0.8318414322250639,0.125,15.0,,
RFESVM,wdbc,both,10,0.9187500000000001,0.125,15.0,,
RFESVM,sonar,outlier,1,0.7740384615384615,0.125,15.0,,
RFESVM,sonar,outlier,2,0.68125,0.125,15.0,,
RFESVM,sonar,outlier,3,0.5590909090909092,0.125,15.0,,
RFESVM,sonar,outlier,4,0.7836538461538461,0.125,15.0,,
RFESVM,sonar,outlier,5,0.7272727272727273,0.125,15.0,,
RFESVM,sonar,outlier,6,0.7142857142857143,0.125,15.0,,
RFESVM,sonar,outlier,7,0.6590909090909092,0.125,15.0,,
RFESVM,sonar,outlier,8,0.6318181818181818,0.125,15.0,,
RFESVM,sonar,outlier,9,0.8434343434343434,0.125,15.0,,
RFESVM,sonar,outlier,10,0.6458333333333333,0.125,15.0,,
RFESVM,sonar,original,1,0.8365384615384616,0.125,15.0,,
RFESVM,sonar,original,2,0.7596153846153846,0.125,15.0,,
RFESVM,sonar,original,3,0.7777777777777778,0.125,15.0,,
RFESVM,sonar,original,4,0.8090909090909091,0.125,15.0,,
RFESVM,sonar,original,5,0.7272727272727273,0.125,15.0,,
RFESVM,sonar,original,6,0.8571428571428572,0.125,15.0,,
RFESVM,sonar,original,7,0.8136363636363636,0.125,15.0,,
RFESVM,sonar,original,8,0.6388888888888888,0.125,15.0,,
RFESVM,sonar,original,9,0.8080808080808081,0.125,15.0,,
RFESVM,sonar,original,10,0.6041666666666667,0.125,15.0,,
RFESVM,sonar,noise,1,0.7211538461538461,2.0,15.0,,
RFESVM,sonar,noise,2,0.6586538461538461,2.0,15.0,,
RFESVM,sonar,noise,3,0.8461538461538461,2.0,15.0,,
RFESVM,sonar,noise,4,0.9045454545454545,2.0,15.0,,
RFESVM,sonar,noise,5,0.6111111111111112,2.0,15.0,,
RFESVM,sonar,noise,6,0.7857142857142858,2.0,15.0,,
RFESVM,sonar,noise,7,0.7681818181818181,2.0,15.0,,
RFESVM,sonar,noise,8,0.6057692307692308,2.0,15.0,,
RFESVM,sonar,noise,9,0.75,2.0,15.0,,
RFESVM,sonar,noise,10,0.5879120879120879,2.0,15.0,,
RFESVM,sonar,both,1,0.6136363636363636,32.0,15.0,,
RFESVM,sonar,both,2,0.6785714285714286,32.0,15.0,,
RFESVM,sonar,both,3,0.75,32.0,15.0,,
RFESVM,sonar,both,4,0.7836538461538461,32.0,15.0,,
RFESVM,sonar,both,5,0.7681818181818181,32.0,15.0,,
RFESVM,sonar,both,6,0.6590909090909092,32.0,15.0,,
RFESVM,sonar,both,7,0.7211538461538461,32.0,15.0,,
RFESVM,sonar,both,8,0.4772727272727273,32.0,15.0,,
RFESVM,sonar,both,9,0.7708333333333333,32.0,15.0,,
RFESVM,sonar,both,10,0.5208333333333334,32.0,15.0,,
RFESVM,ionosphere,outlier,1,0.8235294117647058,0.5,8.0,,
RFESVM,ionosphere,outlier,2,0.8690476190476191,0.5,8.0,,
RFESVM,ionosphere,outlier,3,0.8333333333333334,0.5,8.0,,
RFESVM,ionosphere,outlier,4,0.6759868421052632,0.5,8.0,,
RFESVM,ionosphere,outlier,5,0.738095238095238,0.5,8.0,,
RFESVM,ionosphere,outlier,6,0.76,0.5,8.0,,
RFESVM,ionosphere,outlier,7,0.8529411764705882,0.5,8.0,,
RFESVM,ionosphere,outlier,8,0.8823529411764706,0.5,8.0,,
RFESVM,ionosphere,outlier,9,0.8181818181818181,0.5,8.0,,
RFESVM,ionosphere,outlier,10,0.8532608695652174,0.5,8.0,,
RFESVM,ionosphere,original,1,0.8666666666666667,0.25,8.0,,
RFESVM,ionosphere,original,2,0.8461538461538461,0.25,8.0,,
RFESVM,ionosphere,original,3,0.8882575757575758,0.25,8.0,,
RFESVM,ionosphere,original,4,0.7857142857142858,0.25,8.0,,
RFESVM,ionosphere,original,5,0.7898550724637682,0.25,8.0,,
RFESVM,ionosphere,original,6,0.7756410256410258,0.25,8.0,,
RFESVM,ionosphere,original,7,0.84375,0.25,8.0,,
RFESVM,ionosphere,original,8,0.9642857142857143,0.25,8.0,,
RFESVM,ionosphere,original,9,0.8636363636363636,0.25,8.0,,
RFESVM,ionosphere,original,10,0.9337121212121212,0.25,8.0,,
RFESVM,ionosphere,noise,1,0.75,1.0,17.0,,
RFESVM,ionosphere,noise,2,0.7416666666666667,1.0,17.0,,
RFESVM,ionosphere,noise,3,0.8219696969696969,1.0,17.0,,
RFESVM,ionosphere,noise,4,0.6904761904761905,1.0,17.0,,
RFESVM,ionosphere,noise,5,0.7556818181818181,1.0,17.0,,
RFESVM,ionosphere,noise,6,0.76,1.0,17.0,,
RFESVM,ionosphere,noise,7,0.875,1.0,17.0,,
RFESVM,ionosphere,noise,8,0.9642857142857143,1.0,17.0,,
RFESVM,ionosphere,noise,9,0.8115942028985508,1.0,17.0,,
RFESVM,ionosphere,noise,10,0.8115942028985508,1.0,17.0,,
RFESVM,ionosphere,both,1,0.725,16.0,8.0,,
RFESVM,ionosphere,both,2,0.7622377622377623,16.0,8.0,,
RFESVM,ionosphere,both,3,0.7166666666666666,16.0,8.0,,
RFESVM,ionosphere,both,4,0.575,16.0,8.0,,
RFESVM,ionosphere,both,5,0.6661184210526316,16.0,8.0,,
RFESVM,ionosphere,both,6,0.7000000000000001,16.0,8.0,,
RFESVM,ionosphere,both,7,0.7416666666666667,16.0,8.0,,
RFESVM,ionosphere,both,8,0.9,16.0,8.0,,
RFESVM,ionosphere,both,9,0.8099999999999999,16.0,8.0,,
RFESVM,ionosphere,both,10,0.7619047619047619,16.0,8.0,,
RFESVM,diabetes,outlier,1,0.7556360708534622,1.0,4.0,,
RFESVM,diabetes,outlier,2,0.7371794871794872,1.0,4.0,,
RFESVM,diabetes,outlier,3,0.6495614035087719,1.0,4.0,,
RFESVM,diabetes,outlier,4,0.7757692307692308,1.0,4.0,,
RFESVM,diabetes,outlier,5,0.8342749529190208,1.0,4.0,,
RFESVM,diabetes,outlier,6,0.6631205673758864,1.0,4.0,,
RFESVM,diabetes,outlier,7,0.6950354609929077,1.0,4.0,,
RFESVM,diabetes,outlier,8,0.6753846153846154,1.0,4.0,,
RFESVM,diabetes,outlier,9,0.7011784511784511,1.0,4.0,,
RFESVM,diabetes,outlier,10,0.732034632034632,1.0,4.0,,
RFESVM,diabetes,original,1,0.6688888888888889,0.5,4.0,,
RFESVM,diabetes,original,2,0.770408163265306,0.5,4.0,,
RFESVM,diabetes,original,3,0.6676923076923078,0.5,4.0,,
RFESVM,diabetes,original,4,0.8090909090909092,0.5,4.0,,
RFESVM,diabetes,original,5,0.7321428571428571,0.5,4.0,,
RFESVM,diabetes,original,6,0.696969696969697,0.5,4.0,,
RFESVM,diabetes,original,7,0.862962962962963,0.5,4.0,,
RFESVM,diabetes,original,8,0.725877192982456,0.5,4.0,,
RFESVM,diabetes,original,9,0.742652329749104,0.5,4.0,,
RFESVM,diabetes,original,10,0.7913832199546484,0.5,4.0,,
RFESVM,diabetes,noise,1,0.795990566037736,1.0,4.0,,
RFESVM,diabetes,noise,2,0.721938775510204,1.0,4.0,,
RFESVM,diabetes,noise,3,0.7616747181964573,1.0,4.0,,
RFESVM,diabetes,noise,4,0.7354559748427674,1.0,4.0,,
RFESVM,diabetes,noise,5,0.8636363636363635,1.0,4.0,,
RFESVM,diabetes,noise,6,0.7015306122448981,1.0,4.0,,
RFESVM,diabetes,noise,7,0.7215277777777778,1.0,4.0,,
RFESVM,diabetes,noise,8,0.6374077112387202,1.0,4.0,,
RFESVM,diabetes,noise,9,0.7104377104377104,1.0,4.0,,
RFESVM,diabetes,noise,10,0.7533333333333334,1.0,4.0,,
RFESVM,diabetes,both,1,0.6380769230769232,0.125,6.0,,
RFESVM,diabetes,both,2,0.6889140271493213,0.125,6.0,,
RFESVM,diabetes,both,3,0.5881578947368421,0.125,6.0,,
RFESVM,diabetes,both,4,0.7661538461538461,0.125,6.0,,
RFESVM,diabetes,both,5,0.7021929824561404,0.125,6.0,,
RFESVM,diabetes,both,6,0.6477272727272727,0.125,6.0,,
RFESVM,diabetes,both,7,0.6635416666666667,0.125,6.0,,
RFESVM,diabetes,both,8,0.6538461538461539,0.125,6.0,,
RFESVM,diabetes,both,9,0.6618589743589745,0.125,6.0,,
RFESVM,diabetes,both,10,0.7227564102564101,0.125,6.0,,
RFESVM,cleveland,outlier,1,0.7393162393162394,0.25,6.0,,
RFESVM,cleveland,outlier,2,0.9054621848739496,0.25,6.0,,
RFESVM,cleveland,outlier,3,0.7434210526315791,0.25,6.0,,
RFESVM,cleveland,outlier,4,0.8229665071770336,0.25,6.0,,
RFESVM,cleveland,outlier,5,0.8,0.25,6.0,,
RFESVM,cleveland,outlier,6,0.875,0.25,6.0,,
RFESVM,cleveland,outlier,7,0.763888888888889,0.25,6.0,,
RFESVM,cleveland,outlier,8,0.7760180995475114,0.25,6.0,,
RFESVM,cleveland,outlier,9,0.738095238095238,0.25,6.0,,
RFESVM,cleveland,outlier,10,0.7775119617224882,0.25,6.0,,
RFESVM,cleveland,original,1,0.8952991452991452,1.0,6.0,,
RFESVM,cleveland,original,2,0.8991596638655462,1.0,6.0,,
RFESVM,cleveland,original,3,0.7457264957264957,1.0,6.0,,
RFESVM,cleveland,original,4,0.9321266968325792,1.0,6.0,,
RFESVM,cleveland,original,5,0.7666666666666666,1.0,6.0,,
RFESVM,cleveland,original,6,0.8947368421052632,1.0,6.0,,
RFESVM,cleveland,original,7,0.8055555555555555,1.0,6.0,,
RFESVM,cleveland,original,8,0.8611111111111112,1.0,6.0,,
RFESVM,cleveland,original,9,0.8194444444444443,1.0,6.0,,
RFESVM,cleveland,original,10,0.7963800904977375,1.0,6.0,,
RFESVM,cleveland,noise,1,0.8675213675213674,8.0,6.0,,
RFESVM,cleveland,noise,2,0.7752100840336134,8.0,6.0,,
RFESVM,cleveland,noise,3,0.6794871794871796,8.0,6.0,,
RFESVM,cleveland,noise,4,0.8257918552036198,8.0,6.0,,
RFESVM,cleveland,noise,5,0.8,8.0,6.0,,
RFESVM,cleveland,noise,6,0.868421052631579,8.0,6.0,,
RFESVM,cleveland,noise,7,0.6944444444444444,8.0,6.0,,
RFESVM,cleveland,noise,8,0.8611111111111112,8.0,6.0,,
RFESVM,cleveland,noise,9,0.8055555555555555,8.0,6.0,,
RFESVM,cleveland,noise,10,0.7963800904977375,8.0,6.0,,
RFESVM,cleveland,both,1,0.745798319327731,4.0,9.0,,
RFESVM,cleveland,both,2,0.8309523809523808,4.0,9.0,,
RFESVM,cleveland,both,3,0.6741071428571428,4.0,9.0,,
RFESVM,cleveland,both,4,0.75,4.0,9.0,,
RFESVM,cleveland,both,5,0.6527777777777778,4.0,9.0,,
RFESVM,cleveland,both,6,0.6805555555555556,4.0,9.0,,
RFESVM,cleveland,both,7,0.8492822966507176,4.0,9.0,,
RFESVM,cleveland,both,8,0.8055555555555555,4.0,9.0,,
RFESVM,cleveland,both,9,0.715909090909091,4.0,9.0,,
RFESVM,cleveland,both,10,0.7083333333333334,4.0,9.0,,
PinFSSVM,wdbc,outlier,1,0.9321646341463415,0.125,,0.5,5.0
PinFSSVM,wdbc,outlier,2,0.9305555555555556,0.125,,0.5,5.0
PinFSSVM,wdbc,outlier,3,0.9268292682926829,0.125,,0.5,5.0
PinFSSVM,wdbc,outlier,4,0.9534883720930233,0.125,,0.5,5.0
PinFSSVM,wdbc,outlier,5,0.919969512195122,0.125,,0.5,5.0
PinFSSVM,wdbc,outlier,6,0.869047619047619,0.125,,0.5,5.0
PinFSSVM,wdbc,outlier,7,0.9428571428571428,0.125,,0.5,5.0
PinFSSVM,wdbc,outlier,8,0.984375,0.125,,0.5,5.0
PinFSSVM,wdbc,outlier,9,0.8688311688311688,0.125,,0.5,5.0
PinFSSVM,wdbc,outlier,10,0.986842105263158,0.125,,0.5,5.0
PinFSSVM,wdbc,original,1,0.9455882352941176,0.125,,0.1,5.0
PinFSSVM,wdbc,original,2,1.0,0.125,,0.1,5.0
PinFSSVM,wdbc,original,3,1.0,0.125,,0.1,5.0
PinFSSVM,wdbc,original,4,0.9874999999999999,0.125,,0.1,5.0
PinFSSVM,wdbc,original,5,0.9722222222222222,0.125,,0.1,5.0
PinFSSVM,wdbc,original,6,0.944375,0.125,,0.1,5.0
PinFSSVM,wdbc,original,7,0.9705882352941176,0.125,,0.1,5.0
PinFSSVM,wdbc,original,8,1.0,0.125,,0.1,5.0
PinFSSVM,wdbc,original,9,0.962962962962963,0.125,,0.1,5.0
PinFSSVM,wdbc,original,10,0.9473684210526316,0.125,,0.1,5.0
PinFSSVM,wdbc,noise,1,0.8782051282051283,0.5,,1.0,14.0
PinFSSVM,wdbc,noise,2,0.9838709677419355,0.5,,1.0,14.0
PinFSSVM,wdbc,noise,3,0.8746753246753247,0.5,,1.0,14.0
PinFSSVM,wdbc,noise,4,0.9209401709401709,0.5,,1.0,14.0
PinFSSVM,wdbc,noise,5,0.9375,0.5,,1.0,14.0
PinFSSVM,wdbc,noise,6,0.8574999999999999,0.5,,1.0,14.0
PinFSSVM,wdbc,noise,7,0.881578947368421,0.5,,1.0,14.0
PinFSSVM,wdbc,noise,8,0.8455334987593052,0.5,,1.0,14.0
PinFSSVM,wdbc,noise,9,0.9131773399014779,0.5,,1.0,14.0
PinFSSVM,wdbc,noise,10,0.9222222222222222,0.5,,1.0,14.0
PinFSSVM,wdbc,both,1,0.8643292682926829,4.0,,1.0,10.0
PinFSSVM,wdbc,both,2,0.9054054054054054,4.0,,1.0,10.0
PinFSSVM,wdbc,both,3,0.8952991452991452,4.0,,1.0,10.0
PinFSSVM,wdbc,both,4,0.7948529411764705,4.0,,1.0,10.0
PinFSSVM,wdbc,both,5,0.8661764705882352,4.0,,1.0,10.0
PinFSSVM,wdbc,both,6,0.8248081841432225,4.0,,1.0,10.0
PinFSSVM,wdbc,both,7,0.9204545454545455,4.0,,1.0,10.0
PinFSSVM,wdbc,both,8,0.8262499999999999,4.0,,1.0,10.0
PinFSSVM,wdbc,both,9,0.8612531969309462,4.0,,1.0,10.0
PinFSSVM,wdbc,both,10,0.9187500000000001,4.0,,1.0,10.0
PinFSSVM,sonar,outlier,1,0.7355769230769231,0.125,,0.1,2.0
PinFSSVM,sonar,outlier,2,0.8062500000000001,0.125,,0.1,2.0
PinFSSVM,sonar,outlier,3,0.6590909090909092,0.125,,0.1,2.0
PinFSSVM,sonar,outlier,4,0.7067307692307692,0.125,,0.1,2.0
PinFSSVM,sonar,outlier,5,0.7227272727272727,0.125,,0.1,2.0
PinFSSVM,sonar,outlier,6,0.8214285714285715,0.125,,0.1,2.0
PinFSSVM,sonar,outlier,7,0.6590909090909092,0.125,,0.1,2.0
PinFSSVM,sonar,outlier,8,0.6318181818181818,0.125,,0.1,2.0
PinFSSVM,sonar,outlier,9,0.8333333333333334,0.125,,0.1,2.0
PinFSSVM,sonar,outlier,10,0.6875,0.125,,0.1,2.0
PinFSSVM,sonar,original,1,0.8365384615384616,0.25,,0.5,8.0
PinFSSVM,sonar,original,2,0.7211538461538461,0.25,,0.5,8.0
PinFSSVM,sonar,original,3,0.7916666666666666,0.25,,0.5,8.0
PinFSSVM,sonar,original,4,0.8045454545454546,0.25,,0.5,8.0
PinFSSVM,sonar,original,5,0.7272727272727273,0.25,,0.5,8.0
PinFSSVM,sonar,original,6,0.8928571428571429,0.25,,0.5,8.0
PinFSSVM,sonar,original,7,0.8136363636363636,0.25,,0.5,8.0
PinFSSVM,sonar,original,8,0.6944444444444444,0.25,,0.5,8.0
PinFSSVM,sonar,original,9,0.8535353535353535,0.25,,0.5,8.0
PinFSSVM,sonar,original,10,0.6666666666666666,0.25,,0.5,8.0
PinFSSVM,sonar,noise,1,0.798076923076923,2.0,,0.5,5.0
PinFSSVM,sonar,noise,2,0.7211538461538461,2.0,,0.5,5.0
PinFSSVM,sonar,noise,3,0.7451923076923077,2.0,,0.5,5.0
PinFSSVM,sonar,noise,4,0.9500000000000001,2.0,,0.5,5.0
PinFSSVM,sonar,noise,5,0.7916666666666666,2.0,,0.5,5.0
PinFSSVM,sonar,noise,6,0.7857142857142858,2.0,,0.5,5.0
PinFSSVM,sonar,noise,7,0.8136363636363636,2.0,,0.5,5.0
PinFSSVM,sonar,noise,8,0.6057692307692308,2.0,,0.5,5.0
PinFSSVM,sonar,noise,9,0.75,2.0,,0.5,5.0
PinFSSVM,sonar,noise,10,0.7032967032967032,2.0,,0.5,5.0
PinFSSVM,sonar,both,1,0.7545454545454546,4.0,,0.1,7.0
PinFSSVM,sonar,both,2,0.8214285714285714,4.0,,0.1,7.0
PinFSSVM,sonar,both,3,0.5694444444444444,4.0,,0.1,7.0
PinFSSVM,sonar,both,4,0.8221153846153846,4.0,,0.1,7.0
PinFSSVM,sonar,both,5,0.8136363636363636,4.0,,0.1,7.0
PinFSSVM,sonar,both,6,0.7045454545454546,4.0,,0.1,7.0
PinFSSVM,sonar,both,7,0.6586538461538461,4.0,,0.1,7.0
PinFSSVM,sonar,both,8,0.5818181818181818,4.0,,0.1,7.0
PinFSSVM,sonar,both,9,0.8125,4.0,,0.1,7.0
PinFSSVM,sonar,both,10,0.6041666666666667,4.0,,0.1,7.0
PinFSSVM,ionosphere,outlier,1,0.7941176470588236,2.0,,0.1,12.0
PinFSSVM,ionosphere,outlier,2,0.8690476190476191,2.0,,0.1,12.0
PinFSSVM,ionosphere,outlier,3,0.8333333333333334,2.0,,0.1,12.0
PinFSSVM,ionosphere,outlier,4,0.6759868421052632,2.0,,0.1,12.0
PinFSSVM,ionosphere,outlier,5,0.738095238095238,2.0,,0.1,12.0
PinFSSVM,ionosphere,outlier,6,0.76,2.0,,0.1,12.0
PinFSSVM,ionosphere,outlier,7,0.8235294117647058,2.0,,0.1,12.0
PinFSSVM,ionosphere,outlier,8,0.8823529411764706,2.0,,0.1,12.0
PinFSSVM,ionosphere,outlier,9,0.8181818181818181,2.0,,0.1,12.0
PinFSSVM,ionosphere,outlier,10,0.8532608695652174,2.0,,0.1,12.0
PinFSSVM,ionosphere,original,1,0.8666666666666667,2.0,,0.1,12.0
PinFSSVM,ionosphere,original,2,0.8461538461538461,2.0,,0.1,12.0
PinFSSVM,ionosphere,original,3,0.9337121212121212,2.0,,0.1,12.0
PinFSSVM,ionosphere,original,4,0.75,2.0,,0.1,12.0
PinFSSVM,ionosphere,original,5,0.8115942028985508,2.0,,0.1,12.0
PinFSSVM,ionosphere,original,6,0.7948717948717949,2.0,,0.1,12.0
PinFSSVM,ionosphere,original,7,0.875,2.0,,0.1,12.0
PinFSSVM,ionosphere,original,8,0.9642857142857143,2.0,,0.1,12.0
PinFSSVM,ionosphere,original,9,0.8181818181818181,2.0,,0.1,12.0
PinFSSVM,ionosphere,original,10,0.8882575757575758,2.0,,0.1,12.0
PinFSSVM,ionosphere,noise,1,0.78125,1.0,,0.1,14.0
PinFSSVM,ionosphere,noise,2,0.7083333333333333,1.0,,0.1,14.0
PinFSSVM,ionosphere,noise,3,0.8219696969696969,1.0,,0.1,14.0
PinFSSVM,ionosphere,noise,4,0.6785714285714286,1.0,,0.1,14.0
PinFSSVM,ionosphere,noise,5,0.7556818181818181,1.0,,0.1,14.0
PinFSSVM,ionosphere,noise,6,0.76,1.0,,0.1,14.0
PinFSSVM,ionosphere,noise,7,0.875,1.0,,0.1,14.0
PinFSSVM,ionosphere,noise,8,1.0,1.0,,0.1,14.0
PinFSSVM,ionosphere,noise,9,0.8532608695652174,1.0,,0.1,14.0
PinFSSVM,ionosphere,noise,10,0.7898550724637682,1.0,,0.1,14.0
PinFSSVM,ionosphere,both,1,0.775,0.5,,0.1,2.0
PinFSSVM,ionosphere,both,2,0.784965034965035,0.5,,0.1,2.0
PinFSSVM,ionosphere,both,3,0.75,0.5,,0.1,2.0
PinFSSVM,ionosphere,both,4,0.6083333333333334,0.5,,0.1,2.0
PinFSSVM,ionosphere,both,5,0.6661184210526316,0.5,,0.1,2.0
PinFSSVM,ionosphere,both,6,0.71,0.5,,0.1,2.0
PinFSSVM,ionosphere,both,7,0.725,0.5,,0.1,2.0
PinFSSVM,ionosphere,both,8,0.9333333333333333,0.5,,0.1,2.0
PinFSSVM,ionosphere,both,9,0.6799999999999999,0.5,,0.1,2.0
PinFSSVM,ionosphere,both,10,0.8214285714285714,0.5,,0.1,2.0
PinFSSVM,diabetes,outlier,1,0.7556360708534622,0.5,,0.1,4.0
PinFSSVM,diabetes,outlier,2,0.7371794871794872,0.5,,0.1,4.0
PinFSSVM,diabetes,outlier,3,0.6495614035087719,0.5,,0.1,4.0
PinFSSVM,diabetes,outlier,4,0.7757692307692308,0.5,,0.1,4.0
PinFSSVM,diabetes,outlier,5,0.8342749529190208,0.5,,0.1,4.0
PinFSSVM,diabetes,outlier,6,0.6631205673758864,0.5,,0.1,4.0
PinFSSVM,diabetes,outlier,7,0.7163120567375886,0.5,,0.1,4.0
PinFSSVM,diabetes,outlier,8,0.6753846153846154,0.5,,0.1,4.0
PinFSSVM,diabetes,outlier,9,0.7104377104377104,0.5,,0.1,4.0
PinFSSVM,diabetes,outlier,10,0.7558441558441558,0.5,,0.1,4.0
PinFSSVM,diabetes,original,1,0.715925925925926,0.125,,1.0,5.0
PinFSSVM,diabetes,original,2,0.7780612244897959,0.125,,1.0,5.0
PinFSSVM,diabetes,original,3,0.666923076923077,0.125,,1.0,5.0
PinFSSVM,diabetes,original,4,0.7818181818181819,0.125,,1.0,5.0
PinFSSVM,diabetes,original,5,0.7678571428571428,0.125,,1.0,5.0
PinFSSVM,diabetes,original,6,0.7121212121212122,0.125,,1.0,5.0
PinFSSVM,diabetes,original,7,0.8344444444444444,0.125,,1.0,5.0
